срок_выполнения_дней,ценовой_диапазон,log_цена,тип_задачи_Fullstack-разработка,тип_задачи_ML-модель,тип_задачи_UI-компонент,тип_задачи_UI/UX Дизайн,тип_задачи_Автоматизация и скрипты,тип_задачи_Вёрстка,тип_задачи_Интернет-магазин,тип_задачи_Лендинг,тип_задачи_Мобильное приложение,тип_задачи_Написание API,тип_задачи_Оптимизация SQL,тип_задачи_Парсинг данных,размер_стека,стек_React,стек_HTML,стек_Python,стек_CSS,стек_Vue.js,стек_Next.js,стек_Figma,стек_PostgreSQL,стек_Tailwind,стек_Node.js,стек_React Native,стек_Flutter,стек_TypeScript,стек_CSS Modules,стек_JS
14,1,8.85366542803745,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,3,10.410305154904579,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,4,11.156250521031495,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,8.160518247477505,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40,4,11.141861783579396,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,8.006367567650246,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,4,11.366742954792146,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,9.305650551780507,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,1,9.441452092939569,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,8.294049640102028,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,2,9.692766521220475,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
